trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
81,0.5,4.0,125.02740569999878,125.52673340000001,125.52673340000001,125.52673340000001,125.83182309999938,left,-4.0,1,1,0.8698139000007359,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
82,0.5,4.0,126.40775669999857,126.90741770000022,126.90741770000022,126.90741770000022,127.2123636999986,right,4.0,1,1,0.5449492000007012,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
83,0.5,3.5,127.46224869999969,127.96194800000012,127.96194800000012,127.96194800000012,128.26678170000014,right,3.5,1,1,0.4101620000001276,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
84,0.5,3.5,128.38529969999945,128.88438549999955,128.88438549999955,128.8913668999994,129.1897814999993,left,-3.5,0,0,0.3027440000005299,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
85,0.5,4.0,129.19663539999965,129.6973753000002,129.6973753000002,129.6973753000002,130.00108509999882,left,-4.0,1,1,0.7910775000000285,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
86,0.5,4.0,130.50062819999948,131.00040929999886,131.00040929999886,131.00040929999886,131.3054863999987,right,4.0,1,1,2.0721283000020776,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
87,0.5,4.0,133.08121869999923,133.58130960000017,133.58130960000017,133.58130960000017,133.88597630000004,left,-4.0,1,1,0.7374341000013374,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
88,0.5,3.5,134.33520159999898,134.82982540000012,134.82982540000012,134.83687929999905,135.13481019999927,left,-3.5,1,1,0.8053806999996596,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
89,0.5,3.5,135.6482546999996,136.14788189999854,136.14788189999854,136.14788189999854,136.44581909999943,left,-3.5,1,1,0.6719742000004771,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
90,0.5,3.5,136.82751329999883,137.3271619999996,137.3271619999996,137.3271619999996,137.6325598000003,left,-3.5,1,1,0.629442100000233,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
